eco	name	pgn	uci	epd
A00	Amar Opening	1. Nh3	g1h3	rnbqkbnr/pppppppp/8/8/8/7N/PPPPPPPP/RNBQKB1R b KQkq -
A00	Amsterdam Attack	1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6	e2e3 e7e5 c2c4 d7d6 b1c3 b8c6 b2b3 g8f6	r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/1PN1P3/P2P1PPP/R1BQKBNR w KQkq -
A00	Anderssen's Opening	1. a3	a2a3	rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq -
A00	Barnes Opening	1. f3	f2f3	rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq -
A00	Clemenz Opening	1. h3	h2h3	rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq -
A00	Global Opening	1. h3 e5 2. a3	h2h3 e7e5 a2a3	rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq -
A00	Grob Opening	1. g4	g2g4	rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq -
A00	Hungarian Opening	1. g3	g2g3	rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq -
A00	Kádas Opening	1. h4	h2h4	rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq -
A00	Lasker Simul Special	1. g3 h5	g2g3 h7h5	rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -
A00	Mieses Opening	1. d3	d2d3	rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq -
A00	Polish Opening	1. b4	b2b4	rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq -
A00	Polish Opening, with d5	1. b4 d5	b2b4 d7d5	rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR w KQkq -
A00	Polish Opening, with d5	1. b4 d5 2. Bb2 Nf6 3. Nf3	b2b4 d7d5 c1b2 g8f6 g1f3	rnbqkb1r/ppp1pppp/5n2/3p4/1P6/5N2/PBPPPPPP/RN1QKB1R b KQkq -
A00	Saragossa Opening	1. c3	c2c3	rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq -
A00	Sodium Attack	1. Na3	b1a3	rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq -
A00	Valencia Opening	1. d3 e5 2. Nd2	d2d3 e7e5 b1d2	rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b KQkq -
A00	Van Geet Opening	1. Nc3	b1c3	rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq -
A00	Van't Kruijs Opening	1. e3	e2e3	rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq -
A00	Ware Opening	1. a4	a2a4	rnbqkbnr/pppppppp/8/8/P7/8/1PPPPPPP/RNBQKBNR b KQkq -
A01	Nimzo-Larsen Attack	1. b3	b2b3	rnbqkbnr/pppppppp/8/8/8/1P6/P1PPPPPP/RNBQKBNR b KQkq -
A02	Bird Opening	1. f4	f2f4	rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq -
A04	Zukertort Opening	1. Nf3	g1f3	rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq -
A05	King's Indian Attack	1. Nf3 Nf6 2. g3 d5	g1f3 g8f6 g2g3 d7d5	rnbqkb1r/ppp1pppp/5n2/3p4/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq -
A05	Zukertort Opening	1. Nf3 Nf6	g1f3 g8f6	rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -
A05	Zukertort Opening	1. Nf3 Nf6 2. Nc3 Nc6	g1f3 g8f6 b1c3 b8c6	r1bqkb1r/pppppppp/2n2n2/8/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq -
A06	Zukertort Opening	1. Nf3 d5	g1f3 d7d5	rnbqkbnr/ppp1pppp/8/3p4/8/5N2/PPPPPPPP/RNBQKB1R w KQkq -
A07	King's Indian Attack	1. Nf3 d5 2. g3	g1f3 d7d5 g2g3	rnbqkbnr/ppp1pppp/8/3p4/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq -
A07	King's Indian Attack, with Bf5	1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bf5	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5	rn1qkb1r/pp2pppp/2p2n2/3p1b2/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq -
A07	King's Indian Attack, with Bf5	1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bf5 5. d3 h6 6. c4 dxc4	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 h7h6 c2c4 d5c4	rn1qkb1r/pp2ppp1/2p2n1p/5b2/2p5/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -
A07	King's Indian Attack, with Bf5	1. Nf3 Nf6 2. g3 d5 3. Bg2 c6 4. O-O Bf5 5. d3 e6 6. Nh4	g1f3 g8f6 g2g3 d7d5 f1g2 c7c6 e1g1 c8f5 d2d3 e7e6 f3h4	rn1qkb1r/pp3ppp/2p1pn2/3p1b2/7N/3P2P1/PPP1PPBP/RNBQ1RK1 b kq -
A07	King's Indian Attack, with e6	1. Nf3 Nf6 2. g3 d5 3. Bg2 e6	g1f3 g8f6 g2g3 d7d5 f1g2 e7e6	rnbqkb1r/ppp2ppp/4pn2/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq -
A09	Réti Opening	1. Nf3 d5 2. c4	g1f3 d7d5 c2c4	rnbqkbnr/ppp1pppp/8/3p4/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -
A10	English Opening	1. c4	c2c4	rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq -
A15	English Orangutan	1. c4 Nf6 2. b4	c2c4 g8f6 b2b4	rnbqkb1r/pppppppp/5n2/8/1PP5/8/P2PPPPP/RNBQKBNR b KQkq -
A15	English Orangutan	1. c4 Nf6 2. Nf3 g6 3. b4	c2c4 g8f6 g1f3 g7g6 b2b4	rnbqkb1r/pppppp1p/5np1/8/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq -
A40	Australian Defense	1. d4 Na6	d2d4 b8a6	r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	English Defense	1. d4 b6	d2d4 b7b6	rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
